date,location,total_cases,total_deaths,new_cases,new_deaths,total_vaccinations,people_fully_vaccinated,population,total_boosters
2020-03-06,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-07,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-08,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-09,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-10,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-11,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-12,Kenya,0.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-13,Kenya,1.0,0.0,1.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-14,Kenya,1.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-15,Kenya,3.0,0.0,2.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-16,Kenya,3.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-17,Kenya,3.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-18,Kenya,3.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-19,Kenya,7.0,0.0,4.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-20,Kenya,7.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-21,Kenya,7.0,0.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-22,Kenya,15.0,0.0,8.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-23,Kenya,16.0,0.0,1.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-24,Kenya,25.0,0.0,9.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-25,Kenya,28.0,0.0,3.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-26,Kenya,31.0,1.0,3.0,1.0,0.0,0.0,54027484.0,0.0
2020-03-27,Kenya,31.0,1.0,0.0,0.0,0.0,0.0,54027484.0,0.0
2020-03-28,Kenya,38.0,1.0,7.0,0.0,0.0,0.0,54027484.0,0.0
